CUS_ID,count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,건강/의학,게임,교육/학원,금융/부동산,뉴스/미디어,문학/예술,비즈니스/경제,사회/문화/종교,생활/가정/취미,서비스,쇼핑,스포츠/레저,엔터테인먼트,여행,온라인교육,유통/판매/운송,인터넷/컴퓨터,정보통신/IT,정치/행정,제조,커뮤니티,학문
159,879,121.0,121.0,190.0,206.0,127.0,112.0,2.0,3.0,,1.0,135.0,82.0,,25.0,1.0,78.0,9.0,32.0,1.0,9.0,,7.0,1.0,389.0,1.0,5.0,1.0,99.0,
165,1714,250.0,21.0,277.0,304.0,415.0,233.0,214.0,,1.0,,67.0,248.0,,,,8.0,1.0,221.0,424.0,2.0,9.0,,4.0,705.0,,4.0,3.0,17.0,
169,2686,379.0,448.0,379.0,343.0,426.0,350.0,361.0,2.0,1.0,10.0,372.0,65.0,,3.0,8.0,16.0,12.0,452.0,1.0,7.0,1.0,17.0,8.0,1360.0,3.0,13.0,6.0,327.0,2.0
185,1457,200.0,321.0,224.0,185.0,209.0,179.0,139.0,3.0,,,253.0,248.0,,18.0,,3.0,8.0,126.0,,36.0,36.0,1.0,,627.0,4.0,24.0,1.0,69.0,
209,3634,833.0,610.0,379.0,480.0,823.0,484.0,25.0,9.0,9.0,2.0,17.0,936.0,,38.0,3.0,7.0,11.0,501.0,30.0,93.0,32.0,53.0,19.0,1534.0,8.0,22.0,3.0,307.0,
216,1065,148.0,91.0,85.0,73.0,202.0,219.0,247.0,3.0,12.0,11.0,21.0,51.0,,6.0,,1.0,,80.0,1.0,10.0,2.0,6.0,2.0,615.0,2.0,7.0,8.0,227.0,
268,2174,435.0,350.0,444.0,343.0,317.0,141.0,144.0,1.0,295.0,88.0,19.0,100.0,,3.0,1.0,1.0,6.0,40.0,3.0,59.0,1.0,112.0,,755.0,2.0,5.0,1.0,681.0,1.0
277,794,112.0,150.0,135.0,130.0,113.0,76.0,78.0,,53.0,12.0,12.0,32.0,,10.0,,6.0,2.0,5.0,,33.0,,21.0,2.0,383.0,7.0,5.0,,211.0,
282,1166,98.0,99.0,182.0,137.0,137.0,143.0,370.0,,10.0,,13.0,138.0,,1.0,1.0,12.0,12.0,264.0,17.0,43.0,,1.0,3.0,517.0,14.0,3.0,21.0,96.0,
306,1632,434.0,379.0,248.0,282.0,289.0,,,1.0,,6.0,5.0,724.0,1.0,1.0,,1.0,,5.0,4.0,4.0,2.0,69.0,,575.0,81.0,92.0,,61.0,
336,3729,960.0,757.0,530.0,797.0,641.0,17.0,27.0,11.0,1.0,1.0,13.0,742.0,,59.0,4.0,15.0,8.0,156.0,2.0,31.0,4.0,50.0,5.0,2013.0,22.0,10.0,10.0,571.0,1.0
346,1025,144.0,192.0,93.0,82.0,38.0,201.0,275.0,2.0,106.0,1.0,49.0,16.0,,4.0,1.0,2.0,7.0,383.0,,10.0,35.0,1.0,,369.0,2.0,4.0,2.0,31.0,
368,3955,901.0,633.0,830.0,712.0,871.0,8.0,,9.0,1.0,2.0,424.0,1531.0,,37.0,2.0,34.0,31.0,106.0,5.0,69.0,19.0,19.0,,1218.0,112.0,37.0,5.0,294.0,
370,1164,167.0,177.0,205.0,215.0,214.0,121.0,65.0,,,4.0,522.0,27.0,,2.0,5.0,4.0,5.0,36.0,,4.0,1.0,,,463.0,2.0,15.0,1.0,72.0,1.0
403,6168,1249.0,1291.0,1433.0,955.0,974.0,53.0,213.0,2.0,8.0,7.0,839.0,765.0,,587.0,4.0,27.0,15.0,870.0,5.0,135.0,6.0,9.0,3.0,1724.0,169.0,129.0,5.0,859.0,
411,2222,313.0,270.0,317.0,362.0,308.0,329.0,323.0,11.0,1.0,,1281.0,47.0,,,,3.0,1.0,7.0,,31.0,,,,781.0,3.0,14.0,,42.0,
447,2736,543.0,569.0,404.0,525.0,455.0,146.0,94.0,8.0,3.0,,110.0,421.0,,163.0,,33.0,8.0,512.0,9.0,23.0,,1.0,6.0,1218.0,2.0,7.0,18.0,194.0,
449,458,85.0,52.0,43.0,70.0,74.0,71.0,63.0,,,32.0,19.0,14.0,,1.0,,,4.0,49.0,,10.0,8.0,5.0,1.0,304.0,7.0,3.0,,1.0,
455,3706,608.0,702.0,492.0,880.0,769.0,221.0,34.0,2.0,,2.0,115.0,51.0,1.0,21.0,2.0,14.0,26.0,1130.0,,36.0,9.0,15.0,11.0,1679.0,22.0,25.0,9.0,536.0,
459,1767,434.0,221.0,258.0,233.0,123.0,295.0,203.0,11.0,1.0,28.0,24.0,240.0,,4.0,2.0,1.0,2.0,88.0,,30.0,3.0,50.0,,899.0,5.0,4.0,3.0,371.0,1.0
